name,release_date,MovieSuccessLevel,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,is_animation,budget,runtime
Recess: School's Out,2001.1260273972605,2,0.694,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,16,1,0.0,16524844.720496893,82.0
D2: The Mighty Ducks,1994.2328767123288,3,1.822,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,25,1,0.0,43444062.0782726,106.0
Home on the Range,2004.2520547945203,2,2.787,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,1.0,170418475.38380092,76.0
Young Black Stallion,2003.972602739726,1,4.423,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,25,4,0.0,34991358.69565217,49.0
What's Love Got to Do With It,1993.435616438356,3,0.636,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,9,2,0.0,30379411.76470588,118.0
Lady and the Tramp,1955.4712328767123,5,3.011,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,22,2,1.0,43679850.74626865,76.0
Corky Romano,2001.772602739726,2,0.98,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,12,4,0.0,18177329.19254658,86.0
The Waterboy,1998.838356164384,4,3.513,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,4,0.0,41294877.30061349,90.0
Captain America: The Winter Soldier,2014.2575342465752,4,9.566,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,210155405.17707485,136.0
Pirates of the Caribbean: Dead Man’…,2006.512328767124,5,6.319,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,3,0.0,290332341.26984125,151.0
Ladder 49,2004.7424657534248,3,1.145,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,4,0.0,92955532.0275278,115.0
Coyote Ugly,2000.5863013698631,3,0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,3,0.0,76477787.45644599,100.0
The Sixth Man,1997.2410958904109,2,3.336,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,28,1,0.0,40114704.04984423,107.0
Dick Tracy,1990.4520547945208,4,12.374,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,15,2,0.0,105239364.9579189,105.0
Sister Act 2 Back in the Habit,1993.9315068493152,3,15.136,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10,4,0.0,76961176.47058822,107.0
DuckTales: The Movie - Treasure of th…,1990.5835616438355,2,3.237,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,3,0.0,49260979.34200459,103.0
Blame it on the Bellboy,1992.1808219178083,1,2.096,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,1,0.0,45890306.4861012,78.0
The Hunchback of Notre Dame,1996.468493150685,3,2.157,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,2,1.0,186523263.22498405,91.0
Ernest Goes to Jail,1990.2630136986304,2,1.887,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,2,0.0,49260979.34200459,81.0
Ant-Man,2015.539726027397,3,8.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17,3,0.0,160516545.2267137,117.0
The Shaggy Dog,2006.1917808219173,3,3.525,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,1,0.0,72583085.31746031,98.0
The Life Aquatic with Steve Zissou,2004.9315068493152,2,10.476,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,10,4,0.0,77462943.35627314,119.0
Bridge to Terabithia,2007.1260273972605,3,3.926,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,16,1,0.0,84687617.55939461,96.0
Beauty and the Beast,1991.857534246576,4,2.157,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,13,4,1.0,53717878.12041116,84.0
Miami Rhapsody,1995.07397260274,1,3.38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,1,0.0,42246784.77690288,95.0
A Bug's Life,1998.876712328767,4,5.963,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,20,4,0.0,215451533.7423313,95.0
3 Men and a Little Lady,1990.8794520547945,3,2.849,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,21,4,0.0,49260979.34200459,104.0
The Puppet Masters,1994.7972602739728,1,0.613,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,21,4,0.0,43444062.0782726,109.0
Signs,2002.580821917808,4,13.806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,3,0.0,117127070.59477486,106.0
Dead Presidents,1995.7506849315068,2,5.205,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,4,4,0.0,19203083.98950131,119.0
"McFarland, USA",2015.13698630137,2,3.195,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,20,1,0.0,27164338.422982313,128.0
George Of The Jungle,1997.5369863013696,3,1.822,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,16,3,0.0,100286760.12461057,93.0
Bound by Honor,1993.290410958904,1,6.076,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,16,2,0.0,70885294.11764705,190.0
The Avengers,2012.339726027397,5,9.807,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0.0,280425882.2094654,143.0
Ten Things I Hate About You,1999.2493150684927,2,4.225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,31,1,0.0,28106122.448979594,97.0
Earth,2009.3068493150688,2,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,22,2,0.0,30010720.76145373,40.0
Hello Again,1987.838356164384,2,1.052,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,4,0.0,56676144.36619718,96.0
When a Man Loves a Woman,1994.3260273972603,3,0.69,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,29,2,0.0,43444062.0782726,126.0
Unbreakable,2000.8821917808216,3,13.806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,22,4,0.0,127462979.09407665,106.0
3 Men and a Baby,1987.890410958904,4,9.372,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,25,4,0.0,28338072.18309859,102.0
X Games 3D: The Movie,2009.6328767123289,1,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,21,3,0.0,30010720.76145373,92.0
Cars 2,2011.4767123287672,4,5.963,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,24,2,0.0,260208323.14538607,106.0
The Princess Diaries 2: Royal Engagement,2004.6054794520549,3,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,11,3,0.0,61970354.68501852,113.0
The Jungle Book 2,2003.120547945205,2,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,14,1,0.0,31810326.086956516,72.0
Aspen Extreme,1993.0602739726028,1,0.758,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,1,0.0,44556470.58823529,113.0
Noises Off...,1992.219178082192,1,5.579,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,20,1,0.0,25031076.26514611,101.0
He Got Game,1998.331506849315,2,5.728,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2,0.0,44885736.196319014,136.0
Bringing Down the House,2003.183561643836,3,5.991,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1,0.0,31810326.086956516,105.0
Bon Voyage!,1962.3753424657527,3,1.102,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,17,2,0.0,213192384.10596025,130.0
Doctor Strange,2016.8328767123287,4,4.686,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,4,4,0.0,201194444.32870704,115.0
Flubber,1997.893150684932,3,4.007,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,26,4,0.0,145871651.09034264,93.0
Roving Mars,2006.07397260274,1,0.84,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,27,1,0.0,31936557.539682537,40.0
Captain Ron,1992.7068493150684,2,2.384,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,18,3,0.0,50062152.53029222,100.0
Shadow Conspiracy,1997.0849315068488,1,5.202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,31,1,0.0,82052803.73831774,103.0
Good Morning Vietnam,1987.967123287672,4,2.815,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,23,4,0.0,33490448.94366197,121.0
Babes in Toyland,1961.9424657534248,3,1.052,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,14,4,0.0,215331438.12709028,106.0
An Innocent Man,1989.7561643835616,2,2.105,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,6,4,0.0,51922661.29032257,113.0
Summer of Sam,1999.4986301369863,2,5.728,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,2,3,0.0,38645918.367346935,142.0
The Good Dinosaur,2015.890410958904,3,7.581,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,25,4,0.0,216079964.7282684,93.0
Angels in the Outfield,1994.5342465753424,3,4.585,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,15,3,0.0,61216632.92847504,102.0
Tough Guys,1986.74794520548,2,0.84,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,4,0.0,26702098.540145982,104.0
Something Wicked This Way Comes,1983.3260273972603,1,1.446,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,29,2,0.0,55827761.0441767,95.0
The Rocketeer,1991.468493150685,3,10.842,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,21,2,0.0,90246035.24229074,108.0
Stakeout,1987.5890410958905,3,2.551,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,5,3,0.0,37354731.5140845,116.0
National Treasure 2: Book of Secrets,2007.9616438356163,4,5.697,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,21,4,0.0,183489838.045355,124.0
Terminal Velocity,1994.7205479452048,2,1.668,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,23,3,0.0,98736504.72334683,102.0
Apocalypto,2006.92602739726,2,45.743,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,8,4,0.0,58066468.25396825,139.0
Invincible,2006.6438356164383,3,1.145,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,25,3,0.0,31936557.539682537,105.0
25th Hour,2002.9561643835616,1,5.728,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,19,4,0.0,8133824.346859365,135.0
Mighty Joe Young,1998.972602739726,3,1.533,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,25,4,0.0,161588650.30674845,114.0
Deceived,1991.731506849315,2,1.111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,27,3,0.0,47271732.745961815,104.0
Never Cry Wolf,1983.758904109589,3,1.22,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,7,4,0.0,64642670.68273092,105.0
G-Force,2009.558904109589,3,0.981,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,24,3,0.0,204618550.64627543,88.0
Feast of July,1995.7753424657533,1,1.4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,13,4,0.0,42246784.77690288,116.0
The Lookout,2007.2465753424656,1,5.947,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30,1,0.0,22583364.68250523,99.0
Cool Runnings,1993.7424657534248,3,5.697,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,4,0.0,28354117.64705882,98.0
Alice Through the Looking Glass,2016.402739726028,3,3.603,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,27,2,0.0,207291245.67200118,113.0
The Devil and Max Devlin,1981.002739726028,2,1.044,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.0,70829592.95929591,96.0
The Chronicles of Narnia: Prince Caspian,2008.372602739726,3,8.389,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,16,2,0.0,305835845.2970929,150.0
The Insider,1999.835616438356,2,10.952,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,5,4,0.0,158096938.7755102,158.0
Camp Nowhere,1994.6465753424657,2,1.42,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,26,3,0.0,43444062.0782726,96.0
The Rock,1996.4301369863008,4,24.21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0.0,139892447.418738,137.0
Green Card,1990.972602739726,2,3.857,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,25,4,0.0,27989192.807957154,108.0
Real Steel,2011.758904109589,3,21.85,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,7,4,0.0,143114577.72996232,127.0
A Kid in King Arthur's Court,1995.6054794520549,2,1.414,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,11,3,0.0,42246784.77690288,89.0
The Last Flight of Noah’s Ark,1980.4794520547944,2,0.781,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,25,2,0.0,78136043.68932037,97.0
African Cats,2011.3068493150688,1,1.888,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,22,2,0.0,6505208.078634651,89.0
Toy Story 3D Double Feature,2009.745205479452,2,3.237,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,4,0.0,30010720.76145373,103.0
Into the Woods,2014.972602739726,3,2.707,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,25,4,0.0,61810413.28737496,125.0
Finding Nemo,2003.4109589041093,5,13.918,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,30,2,0.0,149508532.60869563,100.0
The Good Mother,1988.8328767123287,1,9.372,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,4,0.0,34633727.810650885,104.0
The Hundred-Foot Journey,2014.5972602739728,2,9.398,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,3,0.0,27196581.846444983,122.0
Pearl Harbor,2001.3972602739725,4,24.21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,25,2,0.0,231347826.08695647,183.0
Pirates of the Caribbean: At World’…,2007.3945205479447,4,6.319,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,24,2,0.0,423438087.796973,169.0
Color of Night,1994.627397260274,2,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,19,3,0.0,78989203.77867745,121.0
Romy and Michele's High School Reunion,1997.3150684931504,2,0.872,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,25,2,0.0,36467912.77258566,92.0
Cheetah,1989.6246575342464,1,1.38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,18,3,0.0,11800604.838709675,83.0
Jack,1996.6,3,9.291,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,3,0.0,83935468.45124282,113.0
Monsters University,2013.468493150685,4,1.904,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,2,0.0,251252377.04812473,104.0
The Fifth Estate,2013.7890410958903,1,3.842,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,18,4,0.0,35175332.786737464,128.0
Before and After,1996.145205479452,1,1.729,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,23,1,0.0,65283142.12874441,108.0
Moonlight Mile,2002.731506849315,1,2.559,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,27,3,0.0,34162062.25680933,117.0
A Stranger Among Us,1992.539726027397,2,4.261,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,17,3,0.0,45890306.4861012,110.0
The Lizzie McGuire Movie,2003.3342465753424,2,1.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,2,0.0,27038777.173913043,94.0
Krippendorf's Tribe,1998.1561643835616,1,1.047,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,27,1,0.0,39499447.85276073,94.0
crazy/beautiful,2001.490410958904,2,9.759,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,29,2,0.0,21482298.13664596,99.0
Adventures in Babysitting,1987.5013698630137,3,15.365,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3,3,0.0,18033318.66197183,102.0
The Game Plan,2007.717808219178,3,3.237,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,22,3,0.0,31052126.43844469,110.0
Splash,1984.1890410958904,3,15.712,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,1,0.0,22533589.99037536,111.0
Who Framed Roger Rabbit?,1988.4712328767123,4,11.418,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,22,2,0.0,173168639.0532544,104.0
The Light Between Oceans,2016.66301369863,1,0.695,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,3,0.0,24387205.373176612,133.0
The Guardian,2006.7369863013696,3,2.549,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,29,3,0.0,14516617.063492062,139.0
The Sword in the Stone,1963.972602739726,3,4.607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,25,4,1.0,28691666.66666666,79.0
Mr. Holland's Opus,1995.983561643836,3,1.578,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,29,4,0.0,59529560.36745407,137.0
The Rescuers Down Under,1990.8657534246568,2,1.566,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,16,4,1.0,84932645.79188982,77.0
The Preacher's Wife,1996.9397260273968,3,3.078,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,13,4,0.0,74609305.28999361,124.0
Sarafina!,1992.7068493150684,1,1.796,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,18,3,0.0,45890306.4861012,117.0
Trenchcoat,1983.194520547945,1,0.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,11,1,0.0,64642670.68273092,91.0
Confessions of a Teenage Drama Queen,2004.13698630137,2,3.72,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,20,1,0.0,23238883.00688195,89.0
Around the World in 80 Days,2004.454794520548,2,3.513,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,16,2,0.0,170418475.38380092,120.0
Blaze,1989.9397260273968,2,4.339,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,13,4,0.0,51922661.29032257,117.0
Toy Story,1995.8821917808216,4,5.963,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,22,4,0.0,57609251.96850394,81.0
Prince of Persia: Sands of Time,2010.4054794520548,3,7.015,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,28,2,0.0,268421873.28025824,116.0
Eddie,1996.4136986301369,2,1.736,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,31,2,0.0,55956978.96749522,100.0
White Fang 2: Myth of the White Wolf,1994.2876712328768,1,3.372,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,15,2,0.0,43444062.0782726,106.0
White Squall,1996.0876712328768,1,11.154,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0.0,70878840.02549393,129.0
The Invisible,2007.3205479452056,2,7.047,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,27,2,0.0,42343808.77969731,102.0
Guilty as Sin,1993.4219178082192,2,4.261,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,4,2,0.0,44556470.58823529,107.0
Operation Dumbo Drop,1995.5698630136983,2,4.423,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,28,3,0.0,42246784.77690288,107.0
Ghosts of the Abyss,2003.2767123287672,2,19.242,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,11,2,0.0,20676711.95652174,61.0
Scenes from a Mall,1991.1424657534249,1,3.642,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,22,1,0.0,6446145.374449339,89.0
The BFG,2016.495890410959,2,35.554,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,3,0.0,170710437.61223626,117.0
Tron,1982.517808219178,3,0.69,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,9,3,0.0,51555803.10880829,96.0
Firelight,1998.668493150685,1,2.317,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,4,3,0.0,39499447.85276073,103.0
Delivery Man,2013.8821917808216,2,0.732,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,22,4,0.0,32662809.016256217,105.0
New York Stories,1989.1671232876715,2,9.291,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0.0,35401814.51612903,124.0
Disorganized Crime,1989.2849315068493,1,2.216,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,14,2,0.0,51922661.29032257,98.0
Tom and Huck,1995.964383561644,2,3.305,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,22,4,0.0,42246784.77690288,97.0
Keeping the Faith,2000.2849315068493,2,40.007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,14,2,0.0,50985191.637630664,127.0
Grosse Pointe Blank,1997.2767123287672,2,1.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,11,2,0.0,27350934.579439253,107.0
Indian Summer,1993.309589041096,2,3.007,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,23,2,0.0,44556470.58823529,97.0
The Princess and the Frog,2009.890410958904,3,4.367,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,25,4,1.0,143232985.45239282,98.0
Billy Bathgate,1991.8246575342464,2,4.021,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1,4,0.0,103138325.99118942,106.0
3 Ninjas Kick Back,1994.345205479452,2,2.146,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,2,0.0,39494601.889338724,93.0
My Boyfriend's Back,1993.5917808219176,1,9.259,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,6,3,0.0,44556470.58823529,85.0
Goal! The Dream Begins,2006.3616438356164,1,3.237,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,12,2,0.0,31936557.539682537,103.0
Country,1984.7369863013696,2,1.228,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,29,3,0.0,61967372.47353223,105.0
Big Trouble,2002.2602739726028,1,10.903,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,2,0.0,65070594.77487492,85.0
People Like Us,2012.490410958904,1,4.231,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,29,2,0.0,20394609.61523385,114.0
Mars Needs Moms,2011.194520547945,2,1.642,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,11,1,0.0,195156242.35903955,88.0
